read;ins;del;sub
732;0.0314;0.047;0.0336
733;0.0305;0.0458;0.0327
734;0.032;0.048;0.0343
735;0.0335;0.0503;0.0359
736;0.0505;0.0757;0.0541
737;0.0355;0.0533;0.0381
738;0.0325;0.0487;0.0348
739;0.0299;0.0448;0.032
740;0.0211;0.0317;0.0226
741;0.0198;0.0296;0.0212
742;0.0388;0.0582;0.0416
743;0.039;0.0585;0.0418
744;0.0422;0.0633;0.0452
745;0.0165;0.0248;0.0177
746;0.0232;0.0348;0.0249
747;0.0288;0.0432;0.0308
748;0.0622;0.0933;0.0666
749;0.0319;0.0478;0.0342
750;0.0383;0.0574;0.041
751;0.0494;0.074;0.0529
752;0.0293;0.044;0.0314
753;0.0174;0.0261;0.0187
754;0.037;0.0556;0.0397
755;0.0306;0.046;0.0328
756;0.0439;0.0658;0.047
757;0.0234;0.0351;0.0251
758;0.0275;0.0412;0.0294
759;0.0444;0.0667;0.0476
760;0.0247;0.0371;0.0265
761;0.0394;0.0591;0.0422
762;0.0324;0.0486;0.0347
763;0.0228;0.0342;0.0244
764;0.0275;0.0412;0.0295
765;0.0556;0.0834;0.0595
766;0.0243;0.0365;0.0261
767;0.0457;0.0685;0.0489
768;0.0434;0.0651;0.0465
769;0.0219;0.0328;0.0234
770;0.0365;0.0548;0.0391
771;0.0449;0.0673;0.0481
772;0.1132;0.1697;0.1212
773;0.0391;0.0586;0.0418
774;0.0291;0.0437;0.0312
775;0.0273;0.041;0.0293
776;0.0257;0.0386;0.0276
777;0.0551;0.0826;0.059
778;0.0374;0.0561;0.0401
779;0.0243;0.0364;0.026
780;0.0419;0.0629;0.0449
781;0.0593;0.089;0.0635
782;0.0547;0.082;0.0586
783;0.0231;0.0347;0.0248
784;0.0299;0.0448;0.032
785;0.0342;0.0512;0.0366
786;0.0215;0.0322;0.023
787;0.0414;0.0622;0.0444
788;0.032;0.0479;0.0342
789;0.092;0.138;0.0986
790;0.0566;0.0849;0.0607
791;0.0229;0.0343;0.0245
792;0.0533;0.0799;0.0571
793;0.037;0.0555;0.0396
794;0.0214;0.0321;0.0229
795;0.0245;0.0368;0.0263
796;0.0221;0.0331;0.0236
797;0.0448;0.0672;0.048
798;0.0671;0.1006;0.0719
799;0.0354;0.053;0.0379
800;0.0532;0.0798;0.057
801;0.0218;0.0327;0.0233
802;0.0444;0.0667;0.0476
803;0.081;0.1215;0.0868
804;0.0299;0.0448;0.032
805;0.0495;0.0742;0.053
806;0.0333;0.05;0.0357
807;0.0298;0.0446;0.0319
808;0.0281;0.0422;0.0301
809;0.0645;0.0968;0.0691
810;0.0368;0.0553;0.0395
811;0.0314;0.0471;0.0337
812;0.0358;0.0537;0.0384
813;0.0515;0.0772;0.0552
814;0.0566;0.0848;0.0606
815;0.0314;0.0471;0.0336
816;0.0352;0.0528;0.0377
817;0.0357;0.0536;0.0383
818;0.0301;0.0452;0.0323
819;0.0532;0.0798;0.057
820;0.038;0.057;0.0407
821;0.0288;0.0431;0.0308
822;0.0613;0.092;0.0657
823;0.0607;0.0911;0.065
824;0.0238;0.0356;0.0255
825;0.0571;0.0857;0.0612
826;0.1035;0.1553;0.1109
