read;ins;del;sub
71774;0.0008;0.0012;0.0023
71775;0.0018;0.0027;0.0053
71776;0.0033;0.0051;0.0099
71777;0.0004;0.0007;0.0013
71778;0.0102;0.0159;0.0306
71779;0.0061;0.0094;0.0182
71780;0.0114;0.0177;0.0341
71781;0.002;0.0031;0.006
71782;0.0036;0.0056;0.0107
71783;0.0024;0.0038;0.0073
71784;0.0013;0.0021;0.004
71785;0.0056;0.0087;0.0169
71786;0.0022;0.0034;0.0065
71787;0.0038;0.006;0.0115
71788;0.0074;0.0114;0.0221
71789;0.0007;0.0011;0.0021
71790;0.0016;0.0026;0.0049
71791;0.0113;0.0175;0.0338
71792;0.0087;0.0136;0.0261
71793;0.0086;0.0134;0.0259
71794;0.0004;0.0005;0.0011
71795;0.0037;0.0057;0.011
71796;0.0033;0.0052;0.01
71797;0.0032;0.005;0.0097
71798;0.0016;0.0025;0.0048
71799;0.0043;0.0067;0.013
71800;0.001;0.0016;0.003
71801;0.0014;0.0022;0.0043
71802;0.0034;0.0052;0.0101
71803;0.0047;0.0073;0.0141
71804;0.0046;0.0072;0.0139
71805;0.0031;0.0048;0.0092
71806;0.0074;0.0115;0.0221
71807;0.0013;0.002;0.0039
71808;0.0033;0.0051;0.0098
71809;0.002;0.0031;0.006
71810;0.0013;0.002;0.0039
71811;0.0024;0.0037;0.0072
71812;0.0039;0.006;0.0116
71813;0.0041;0.0063;0.0122
71814;0.0029;0.0044;0.0086
71815;0.0046;0.0071;0.0138
71816;0.0005;0.0007;0.0014
71817;0.0003;0.0005;0.001
71818;0.0067;0.0104;0.0201
71819;0.0018;0.0028;0.0054
71820;0.0047;0.0074;0.0142
71821;0.0019;0.0029;0.0057
71822;0.007;0.0109;0.021
71823;0.0016;0.0025;0.0048
71824;0.0014;0.0022;0.0042
71825;0.0027;0.0042;0.008
71826;0.034;0.0529;0.1021
71827;0.0063;0.0098;0.019
71828;0.0037;0.0057;0.011
71829;0.0033;0.0052;0.01
71830;0.0033;0.0051;0.0099
71831;0.0036;0.0056;0.0109
71832;0.0028;0.0044;0.0084
71833;0.0058;0.009;0.0173
71834;0.0027;0.0043;0.0082
71835;0.0034;0.0053;0.0102
71836;0.0051;0.0079;0.0152
71837;0.0031;0.0048;0.0093
71838;0.0084;0.0131;0.0253
71839;0.001;0.0015;0.0029
71840;0.0011;0.0018;0.0034
71841;0.0045;0.0071;0.0136
71842;0.0015;0.0023;0.0044
71843;0.0078;0.0122;0.0235
71844;0.0013;0.002;0.004
71845;0.0107;0.0166;0.0321
71846;0.0029;0.0045;0.0086
71847;0.0035;0.0055;0.0105
71848;0.003;0.0047;0.009
71849;0.001;0.0016;0.0031
71850;0.0111;0.0173;0.0334
71851;0.0037;0.0057;0.011
71852;0.0024;0.0038;0.0073
71853;0.0034;0.0053;0.0101
71854;0.0024;0.0037;0.0071
71855;0.0026;0.004;0.0078
71856;0.0022;0.0034;0.0065
71857;0.0045;0.007;0.0134
71858;0.0044;0.0068;0.0131
71859;0.001;0.0016;0.0031
71860;0.0023;0.0036;0.007
71861;0.0019;0.0029;0.0056
71862;0.0045;0.0069;0.0134
71863;0.0021;0.0033;0.0064
71864;0.0048;0.0075;0.0144
71865;0.0096;0.015;0.0289
71866;0.0024;0.0037;0.0071
71867;0.0033;0.0052;0.01
71868;0.0107;0.0167;0.0322
71869;0.0032;0.005;0.0096
71870;0.0017;0.0026;0.005
71871;0.0021;0.0033;0.0064
71872;0.0031;0.0048;0.0093
71873;0.0009;0.0015;0.0028
71874;0.0026;0.004;0.0078
71875;0.0021;0.0033;0.0064
71876;0.0026;0.004;0.0077
71877;0.0035;0.0054;0.0104
71878;0.0022;0.0034;0.0065
71879;0.0051;0.0079;0.0153
71880;0.0017;0.0026;0.005
71881;0.0026;0.0041;0.0078
71882;0.0068;0.0105;0.0203
71883;0.0027;0.0042;0.0081
71884;0.0054;0.0084;0.0163
71885;0.0003;0.0005;0.001
71886;0.0036;0.0056;0.0109
71887;0.0022;0.0035;0.0067
71888;0.0042;0.0065;0.0126
71889;0.0032;0.005;0.0096
71890;0.0027;0.0043;0.0082
71891;0.0071;0.011;0.0212
71892;0.0068;0.0105;0.0203
71893;0.0036;0.0056;0.0108
71894;0.0017;0.0026;0.0051
71895;0.0067;0.0104;0.0201
71896;0.0011;0.0018;0.0034
71897;0.0018;0.0028;0.0053
71898;0.0019;0.0029;0.0056
71899;0.0027;0.0043;0.0082
71900;0.0024;0.0038;0.0072
71901;0.003;0.0046;0.0089
71902;0.0031;0.0049;0.0094
71903;0.004;0.0063;0.0121
71904;0.0013;0.002;0.0039
71905;0.0046;0.0072;0.0139
71906;0.002;0.0031;0.0059
71907;0.0053;0.0082;0.0158
71908;0.0078;0.0122;0.0235
71909;0.0052;0.0081;0.0157
71910;0.0022;0.0034;0.0065
71911;0.0015;0.0023;0.0045
71912;0.0012;0.0019;0.0037
71913;0.0069;0.0107;0.0207
71914;0.0007;0.0011;0.0021
71915;0.0051;0.008;0.0154
71916;0.006;0.0094;0.018
71917;0.0071;0.011;0.0212
71918;0.0059;0.0093;0.0178
71919;0.0041;0.0064;0.0123
